surname ,name ,Sender_account,Receiver_account,Transaction_amount,Old Balance,NewBalance,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,FraudResult,"Laundering_type,"
Clark,Teresa,6345198198,8576546352,6327.73,9935,3607.27,us dollar,Yen,russia,china,Cross-border,1,"Behavioural_Change_1,"
Conley,Rebecca,9599009457,7106391404,16455.69,22141,5685.31,us dollar,Yen,russia,china,Cross-border,0,"Normal_Fan_Out,"
Davis,John,4781791357,7464410589,9423.83,20813,11389.17,us dollar,Yen,russia,china,Cross-border,0,"Normal_Mutual,"
DUBE,Jessica,4525762763,4527536853,16644.75,20471,3826.25,us dollar,Yen,russia,china,Cross-border,1,"Stacked Bipartite,"
Gamble,Crystal,5021785800,9745680135,11136.27,49627,38490.73,us dollar,Yen,russia,china,Cross-border,0,"Normal_Fan_Out,"
Nixon,Joseph,4472999799,6917552485,11401,14943,3542,us dollar,Yen,russia,china,Cross-border,0,"Normal_Small_Fan_Out,"
Nzara,Denise,9285172899,934605333,3524.08,244744.34,241220.25,us dollar,Yen,russia,china,Cross-border,0,"Normal_Small_Fan_Out,"
Reese,James,9599009457,7106391404,2068.3,15358,13289.7,us dollar,Yen,russia,china,Cross-border,0,"Normal_Fan_Out,"
Russell,Patricia,6854312496,7419883586,22415.68,31164,8748.32,us dollar,Yen,russia,china,Cross-border,0,"Normal_Small_Fan_Out,"
Stephens,James,6630578269,5504235715,14819.11,19812,4992.89,us dollar,Yen,russia,china,Cross-border,0,"Normal_Small_Fan_Out,"
Stewart,Kristina,6345198198,5683205660,4947.21,15685,10737.79,us dollar,Yen,russia,china,Cross-border,1,"Behavioural_Change_1,"
Eaton,Christina,3281884494,4863940969,1795.14,35474,33678.86,us dollar,US dollar,ZIM,Germany,Cross-border,0,"Normal_Small_Fan_Out,"
Fleming,TANYARADZWA JEANETTE,1151481341,5610988263,99056.98,9976553.86,10075610.84,us dollar,US dollar,ZIM,Germany,Cross-border,0,"Normal_Fan_Out,"
Garcia,TAKUDZWA,1141075854,7662743578,11718.1,10642076.03,10653794.13,rands,US dollar,France,Germany,Cross-border,0,"Normal_Small_Fan_Out,"
Hwamiridza,ELIZABETH NAKAYI,1184607529,6579176482,74485.22,13100000,13213090.25,us dollar,US dollar,ZIM,Germany,Cross-border,1,"Layered_Fan_Out,"
Spencer,WEDZERAI,448328324,4668819603,146865.89,9990520.7,10137386.58,us dollar,US dollar,ZIM,Germany,Cross-border,0,"Normal_Small_Fan_Out,"
CHIMBADZO,Cheryl,8166392165,8006681784,10592.75,64995.3,54402.54,us dollar,pula,ZIM,mexico,Cross-border,0,"Normal_Periodical,"
CHINEMBIRI,Jennifer,8197072010,2935036107,13729.42,30607,16877.58,us dollar,pula,ZIM,mexico,Cross-border,1,"Behavioural_Change_2,"
CHITAMBO,Timothy,5931838828,8407065812,4424.9,20839,16414.1,us dollar,pula,ZIM,mexico,Cross-border,0,"Normal_Periodical,"
Collins,Lisa,3108280261,3324246812,856.14,8043,7186.86,us dollar,pula,ZIM,mexico,Cross-border,0,"Normal_Small_Fan_Out,"
Colon,Alan,8285407168,6946032382,2799.86,10487,7687.14,us dollar,pula,ZIM,mexico,Cross-border,1,"Layered_Fan_Out,"
Gonzalez,Patricia,5535491870,1681811645,793.3,10177,9383.7,us dollar,Rands,ZIM,mexico,Cross-border,1,"Layered_Fan_In,"
GOREDEMA,Kyle,8501920513,392103684,5189.31,10762,5572.69,us dollar,pula,ZIM,mexico,Cross-border,1,"Behavioural_Change_2,"
GOWORA,Roberta,8501920513,9488471937,6159.72,24815,18655.28,us dollar,pula,ZIM,mexico,Cross-border,1,"Behavioural_Change_2,"
Gray,Dawn,5065960445,6002039178,2589.91,260516,257926.09,us dollar,pula,ZIM,mexico,Cross-border,0,"Normal_Small_Fan_Out,"
Harris,Christine,5520221039,3418926964,1594.13,10968,9373.87,us dollar,pula,ZIM,mexico,Cross-border,1,"Single_large,"
Hernandez,Carl,4158383100,754868782,7897.65,14454,6556.35,us dollar,pula,ZIM,mexico,Cross-border,0,"Normal_Small_Fan_Out,"
JULY,Amanda,8684916519,5336032152,23397.67,41526,18128.33,Pula,pula,USA,mexico,Cross-border,1,"Structuring,"
KASEKA,Joshua,6127911143,9701749283,13962.99,33768,19805.01,rands,pula,Spain,mexico,Cross-border,0,"Normal_Small_Fan_Out,"
KODZWA,Billy,7900125583,4548390037,37699.34,642830.98,605131.64,us dollar,pula,ZIM,mexico,Cross-border,1,"Behavioural_Change_2,"
Lowe,Barbara,3510078932,9858029207,8662.95,31213,22550.05,us dollar,pula,ZIM,mexico,Cross-border,0,"Normal_Fan_Out,"
MABUYAYE,Aaron,9036440190,5336032152,10027.01,10857,829.99,us dollar,pula,ZIM,mexico,Cross-border,1,"Structuring,"
Manhambara,GLADYS,1424693007,7253924352,313320.4,16400000,16680903.16,us dollar,pula,ZIM,mexico,Cross-border,1,"Behavioural_Change_2,"
MASANGA,Lori,3510078932,9858029207,9437.39,19908,10470.61,us dollar,pula,ZIM,mexico,Cross-border,0,"Normal_Fan_Out,"
Masarira,GAUDENCIA ANOPA,1915450576,3772874052,2426.48,20897,18470.52,us dollar,pula,ZIM,mexico,Cross-border,0,"Normal_Fan_Out,"
Masaya,SAMSON,1915450576,3772874052,2290,268569.12,266279.12,us dollar,pula,ZIM,mexico,Cross-border,0,"Normal_Fan_Out,"
Maseko,LOUIS,1915450576,3772874052,156.22,7020,6863.78,us dollar,pula,ZIM,mexico,Cross-border,0,"Normal_Fan_Out,"
Masembu,SHALOME,1915450576,3772874052,5430.64,5656.75,226.11,us dollar,pula,ZIM,mexico,Cross-border,0,"Normal_Fan_Out,"
Masendeke,LEANMORE,1926054413,5336032152,14380.02,21303,6922.98,Rands,pula,UAE,mexico,Cross-border,1,"Structuring,"
Masunda,CLEMENCE EDMORE,2065685062,5336032152,19724.87,29724,9999.13,us dollar,pula,ZIM,mexico,Cross-border,1,"Structuring,"
Mavesera,Carlos,2305137294,5336032152,688.53,25403,24714.47,us dollar,Yen,ZIM,mexico,Cross-border,1,"Structuring,"
Mazungu,Cesar,2420393246,4965323415,18934.49,50377,31442.51,us dollar,pula,ZIM,mexico,Cross-border,1,"Deposit-Send,"
Mccarthy,Roberta,3510078932,9858029207,7611.48,11519,3907.52,us dollar,pula,ZIM,mexico,Cross-border,0,"Normal_Fan_Out,"
Morgan,Joseph,6988324584,5336032152,4179.14,10274,6094.86,us dollar,pula,ZIM,mexico,Cross-border,1,"Structuring,"
MUGASA,Tyler,7900125583,7803522559,1502.27,167574.47,166072.19,us dollar,pula,ZIM,mexico,Cross-border,1,"Behavioural_Change_2,"
Munoz,Jeffrey,6633012892,5006737641,13266.85,14358,1091.15,us dollar,pula,ZIM,mexico,Cross-border,1,"Deposit-Send,"
Nengomasha,Kathy,9725749581,5336032152,5299.43,10675,5375.57,us dollar,pula,ZIM,mexico,Cross-border,1,"Structuring,"
Nguyen,YV0NNE,848681361,9397412993,5600.37,19100000,19099874.27,us dollar,pula,ZIM,mexico,Cross-border,0,"Normal_Plus_Mutual,"
OBIAJU,Edward,9303470721,5336032152,8260.68,44654,36393.32,Pula,pula,ZIM,mexico,Cross-border,1,"Structuring,"
Park,Linda,6708292258,1582827634,6089.98,252367.25,246277.27,us dollar,pula,ZIM,mexico,Cross-border,1,"Deposit-Send,"
Pena,MAKOMBORERO PRIDE,846554893,9143778831,66283.39,19000000,19064037.08,us dollar,pula,ZIM,mexico,Cross-border,0,"Normal_Small_Fan_Out,"
Richards,GERALDINE MUNESUISHE,846554893,9143778831,30236.82,19100000,19094273.9,us dollar,pula,ZIM,mexico,Cross-border,0,"Normal_Small_Fan_Out,"
Richards,Kenneth,4447501051,7571328297,19258.16,106553,87294.84,us dollar,pula,ZIM,mexico,Cross-border,1,"Fan_Out,"
SAMANGA,Marissa,5931838828,8407065812,1804.74,11468,9663.26,us dollar,pula,ZIM,mexico,Cross-border,0,"Normal_Periodical,"
SANDE,Sarah,5931838828,8407065812,1584.94,5020,3435.06,us dollar,pula,ZIM,mexico,Cross-border,0,"Normal_Periodical,"
Simango,Benjamin,9533240429,9167626261,4039.94,22024,17984.06,us dollar,pula,ZIM,mexico,Cross-border,0,"Normal_Small_Fan_Out,"
Spencer,Amanda,4939108392,4281746314,15409.03,21216,5806.97,us dollar,pula,ZIM,mexico,Cross-border,0,"Normal_Group,"
Thomas,Dorothy,6568147162,5336032152,9151.12,10699,1547.88,us dollar,pula,ZIM,mexico,Cross-border,1,"Structuring,"
Padilla,Joanne,2797271466,1984629662,1281.34,9147,7865.66,us dollar,US dollar,ZIM,Netherlands,Cross-border,0,"Normal_Fan_Out,"
Jaure,NYARADZO ANNE,719384092,187827676,106509.98,14700000,14811949.14,us dollar,Yen,USA,Russia,Cross-border,0,"Normal_Small_Fan_Out,"
Khan,PANASHE ADELIDE,445337741,9651904023,111291.43,11286725.8,11398017.23,us dollar,Yen,USA,Russia,Cross-border,0,"Normal_Small_Fan_Out,"
Lambert,Beth,3226909844,2443617213,2604.24,10285,7680.76,us dollar,Yen,USA,Russia,Cross-border,1,"Layered_Fan_Out,"
Manyanda,ALLAN MUKUDZEISHE,1445991735,5323459625,87613.47,17600000,17652454.37,us dollar,Yen,USA,Russia,Cross-border,0,"Normal_Small_Fan_Out,"
Marambakuyana,Kylie,1698069732,3620381622,27962.13,37700,9737.87,us dollar,Yen,USA,Russia,Cross-border,0,"Normal_Fan_Out,"
Perez,Brian,3950352859,3338700065,221.21,30965,30743.79,us dollar,Yen,USA,Russia,Cross-border,1,"Behavioural_Change_1,"
Ryan,Karen,3895286750,6174768568,6346.33,957885.29,951538.96,us dollar,Yen,USA,Russia,Cross-border,1,"Layered_Fan_Out,"
Chaminuka,MOESHA,127154492,5103043844,5209.8,20801,15591.2,us dollar,rands,ZIM,South Africa,Cross-border,0,"Normal_Fan_In,"
Chaperuka,HEATHER,190346689,5103043844,706289.98,24808,731097.98,us dollar,rands,ZIM,South Africa,Cross-border,0,"Normal_Fan_In,"
Chapinduka,MNCEDISI,190346689,5103043844,98366.17,12615700.76,12714066.94,us dollar,rands,ZIM,South Africa,Cross-border,0,"Normal_Fan_In,"
Charama,MEDELINE TANATSWA,190346689,5103043844,368235.47,10673,378908.47,us dollar,rands,ZIM,South Africa,Cross-border,0,"Normal_Fan_In,"
Chase,Heather,3168051873,7611326985,5704.64,29933,24228.36,us dollar,Rands,ZIM,South Africa,Cross-border,0,"Normal_Fan_Out,"
Chase,Heather,3905907712,4720971649,5403.26,20303,14899.74,us dollar,Rands,ZIM,South Africa,Cross-border,0,"Normal_Small_Fan_Out,"
CHASUKA,Curtis,7973807879,4723035903,9010.85,20183,11172.15,us dollar,Rands,ZIM,south Africa,Cross-border,1,"Structuring,"
Chatunga,PRAISE NAMATAI,283212952,5103043844,325274.54,21006,346280.54,us dollar,rands,ZIM,South Africa,Cross-border,0,"Normal_Fan_In,"
Chatungwa,CLYDE PANASHE,283212952,5103043844,298558.57,11517301.94,11815860.51,us dollar,rands,ZIM,South Africa,Cross-border,0,"Normal_Fan_In,"
Chaukura,NOREEN,283212952,5103043844,277013.34,11155569.09,11432582.44,us dollar,rands,ZIM,South Africa,Cross-border,0,"Normal_Fan_In,"
CHIBVUDZE,Ashley,8055925195,1122450922,2823.57,11206,8382.43,us dollar,Rands,ZIM,south Africa,Cross-border,1,"Deposit-Send,"
Chidawanyika,MICHELLE,391301170,774169166,385970.33,12298674.36,12684644.69,us dollar,Rands,ZIM,South Africa,Cross-border,0,"Normal_Small_Fan_Out,"
CHIDZIVA,Christopher,8060121943,7820495697,7443.28,20666,13222.72,us dollar,kwacha,ZIM,south Africa,Cross-border,1,"Deposit-Send,"
Chieza,TAFADZWA,420570262,5103043844,319970.67,10806898.38,11126869.05,us dollar,rands,ZIM,South Africa,Cross-border,0,"Normal_Fan_In,"
Chifamba,TADIWA,420570262,5103043844,662661.72,9749099.21,10411760.93,us dollar,rands,ZIM,South Africa,Cross-border,0,"Normal_Fan_In,"
CHIGOGWANA,Lauren,6541552727,2877832458,9810.18,49738,39927.82,us dollar,kwacha,ZIM,south Africa,Cross-border,0,"Normal_Fan_Out,"
CHIGWA,Meredith,7501327339,3546968911,1173.75,30927,29753.25,us dollar,Rands,ZIM,South Africa,Cross-border,0,"Normal_Fan_Out,"
CHIKUKWA,Dorothy,8124881173,2867318469,5222.09,10569,5346.91,us dollar,Rands,ZIM,South Africa,Cross-border,0,"Normal_Small_Fan_Out,"
CHIMUDENDE,Kimberly,8178792185,4723035903,2998.32,10750,7751.68,us dollar,Rands,ZIM,south Africa,Cross-border,1,"Structuring,"
CHINAMARINGA,Christine,8189995929,251488739,7694.63,24777.54,17082.91,us dollar,rands,ZIM,South Africa,Cross-border,0,"Normal_Small_Fan_Out,"
CHINGOMBE,David,8197072010,1170109023,9333.58,51487,42153.42,us dollar,kwacha,ZIM,south Africa,Cross-border,1,"Behavioural_Change_2,"
CHINUNGU,Jamie,7900125583,7625945339,7845.63,9963,2117.37,us dollar,rands,ZIM,South Africa,Cross-border,1,"Behavioural_Change_2,"
CHITAMBO,Candice,7466302779,5103043844,5807.25,20219,14411.75,us dollar,rands,ZIM,South Africa,Cross-border,0,"Normal_Fan_In,"
CHIVANDIKA,Erica,6770601554,6128626942,3628.1,6013,2384.9,us dollar,rands,ZIM,South Africa,Cash Withdrawal,1,"Cash_Withdrawal,"
Clark,Valerie,4599310239,4723035903,1614.17,21789,20174.83,us dollar,Rands,ZIM,south Africa,Cross-border,1,"Structuring,"
Cole,David,5395605156,1935753108,1521.55,14203,12681.45,us dollar,Rands,ZIM,South Africa,Cross-border,0,"Normal_Small_Fan_Out,"
Cross,KUDZAI,445154846,4497771501,174561.92,10569397.24,10743959.16,us dollar,rands,ZIM,South Africa,Cross-border,1,"Structuring,"
Cross,Thomas,5191792876,4723035903,2884.43,5028,2143.57,Kwacha ,Rands,ZIM,south Africa,Cross-border,1,"Structuring,"
Cruz,Andrea,6213773032,5103043844,6604.89,21085,14480.11,us dollar,rands,ZIM,South Africa,Cross-border,0,"Normal_Fan_In,"
Cruz,Ashley,6984051591,5060924139,2056.49,199871,197814.51,us dollar,Rands,ZIM,south Africa,Cross-border,0,"Normal_Small_Fan_Out,"
